"logdate","log"
"2024-09-27 13:08:24.0 IST","ISOBCal 6 out of  33 columns processed and took 7 seconds to complete."
"2024-09-27 13:09:22.0 IST","ISOBCal 7 out of  33 columns processed."
"2024-09-27 13:09:22.0 IST","ISOBCal 7 out of  33 columns processed and took 58 seconds to complete."
"2024-09-27 13:10:21.0 IST","ISOBCal 8 out of  33 columns processed."
"2024-09-27 13:10:21.0 IST","ISOBCal 8 out of  33 columns processed and took 58 seconds to complete."
"2024-09-27 13:10:26.0 IST","ISOBCal 9 out of  33 columns processed."
"2024-09-27 13:10:30.0 IST","ISOBCal 10 out of  33 columns processed."
"2024-09-27 13:10:32.0 IST","ISOBCal 11 out of  33 columns processed."
"2024-09-27 13:10:35.0 IST","ISOBCal 12 out of  33 columns processed."
"2024-09-27 13:10:37.0 IST","ISOBCal 13 out of  33 columns processed."
"2024-09-27 13:10:39.0 IST","ISOBCal 14 out of  33 columns processed."
"2024-09-27 13:10:42.0 IST","ISOBCal 15 out of  33 columns processed."
"2024-09-27 13:10:44.0 IST","ISOBCal 16 out of  33 columns processed."
"2024-09-27 13:10:46.0 IST","ISOBCal 17 out of  33 columns processed."
"2024-09-27 13:10:48.0 IST","ISOBCal 18 out of  33 columns processed."
"2024-09-27 13:10:51.0 IST","ISOBCal 19 out of  33 columns processed."
"2024-09-27 13:10:53.0 IST","ISOBCal 20 out of  33 columns processed."
"2024-09-27 13:10:55.0 IST","ISOBCal 21 out of  33 columns processed."
"2024-09-27 13:10:57.0 IST","ISOBCal 22 out of  33 columns processed."
"2024-09-27 13:11:00.0 IST","ISOBCal 23 out of  33 columns processed."
"2024-09-27 13:11:03.0 IST","ISOBCal 24 out of  33 columns processed."
"2024-09-27 13:11:05.0 IST","ISOBCal 25 out of  33 columns processed."
"2024-09-27 13:11:07.0 IST","ISOBCal 26 out of  33 columns processed."
"2024-09-27 13:11:09.0 IST","ISOBCal 27 out of  33 columns processed."
"2024-09-27 13:11:12.0 IST","ISOBCal 28 out of  33 columns processed."
"2024-09-27 13:11:14.0 IST","ISOBCal 29 out of  33 columns processed."
"2024-09-27 13:11:17.0 IST","ISOBCal 30 out of  33 columns processed."
"2024-09-27 13:11:19.0 IST","ISOBCal 31 out of  33 columns processed."
"2024-09-27 13:11:21.0 IST","ISOBCal 32 out of  33 columns processed."
"2024-09-27 13:11:23.0 IST","ISOBCal 33 out of  33 columns processed."
"2024-09-27 13:11:24.0 IST","Column Relations count : 0"
"2024-09-27 13:11:24.0 IST","Table ISOBCal profiled successfully, took : 254 secs. 8 table out of 15 tables completed."
"2024-09-27 13:11:24.0 IST","Started profiling table : ISOTmp"
"2024-09-27 13:11:24.0 IST","Table: ISOTmp rowcount updated, count : 73414"
"2024-09-27 13:11:28.0 IST","ISOTmp 1 out of  25 columns processed."
"2024-09-27 13:11:30.0 IST","ISOTmp 2 out of  25 columns processed."
"2024-09-27 13:11:31.0 IST","ISOTmp 3 out of  25 columns processed."
"2024-09-27 13:11:32.0 IST","ISOTmp 4 out of  25 columns processed."
"2024-09-27 13:11:33.0 IST","ISOTmp 5 out of  25 columns processed."
"2024-09-27 13:11:34.0 IST","ISOTmp 6 out of  25 columns processed."
"2024-09-27 13:11:35.0 IST","ISOTmp 7 out of  25 columns processed."
"2024-09-27 13:11:36.0 IST","ISOTmp 8 out of  25 columns processed."
"2024-09-27 13:11:37.0 IST","ISOTmp 9 out of  25 columns processed."
"2024-09-27 13:11:38.0 IST","ISOTmp 10 out of  25 columns processed."
"2024-09-27 13:11:39.0 IST","ISOTmp 11 out of  25 columns processed."
"2024-09-27 13:11:40.0 IST","ISOTmp 12 out of  25 columns processed."
"2024-09-27 13:11:41.0 IST","ISOTmp 13 out of  25 columns processed."
"2024-09-27 13:11:42.0 IST","ISOTmp 14 out of  25 columns processed."
"2024-09-27 13:11:43.0 IST","ISOTmp 15 out of  25 columns processed."
"2024-09-27 13:11:44.0 IST","ISOTmp 16 out of  25 columns processed."
"2024-09-27 13:11:45.0 IST","ISOTmp 17 out of  25 columns processed."
"2024-09-27 13:11:46.0 IST","ISOTmp 18 out of  25 columns processed."
"2024-09-27 13:11:47.0 IST","ISOTmp 19 out of  25 columns processed."
"2024-09-27 13:11:48.0 IST","ISOTmp 20 out of  25 columns processed."
"2024-09-27 13:11:49.0 IST","ISOTmp 21 out of  25 columns processed."
"2024-09-27 13:11:51.0 IST","ISOTmp 22 out of  25 columns processed."
"2024-09-27 13:11:51.0 IST","ISOTmp 23 out of  25 columns processed."
"2024-09-27 13:11:52.0 IST","ISOTmp 24 out of  25 columns processed."
"2024-09-27 13:11:53.0 IST","ISOTmp 25 out of  25 columns processed."
"2024-09-27 13:11:54.0 IST","Column Relations count : 0"
"2024-09-27 13:11:54.0 IST","Table ISOTmp profiled successfully, took : 29 secs. 9 table out of 15 tables completed."
"2024-09-27 13:11:54.0 IST","Started profiling table : BusinessCalendarExceptions"
"2024-09-27 13:11:54.0 IST","Table: BusinessCalendarExceptions rowcount updated, count : 0"
"2024-09-27 13:11:54.0 IST","No Data Exist for Profiling: Table  BusinessCalendarExceptions"
"2024-09-27 13:11:54.0 IST","Column Relations count : 0"
"2024-09-27 13:11:54.0 IST","Table BusinessCalendarExceptions profiled successfully, took : 0 secs. 10 table out of 15 tables completed."
"2024-09-27 13:11:54.0 IST","Started profiling table : CompatibleBCal"
"2024-09-27 13:11:56.0 IST","Table: CompatibleBCal rowcount updated, count : 73414"
"2024-09-27 13:12:07.0 IST","CompatibleBCal 1 out of  33 columns processed."
"2024-09-27 13:12:07.0 IST","CompatibleBCal 1 out of  33 columns processed and took 10 seconds to complete."
"2024-09-27 13:12:19.0 IST","CompatibleBCal 2 out of  33 columns processed."
"2024-09-27 13:12:19.0 IST","CompatibleBCal 2 out of  33 columns processed and took 11 seconds to complete."
"2024-09-27 13:12:39.0 IST","CompatibleBCal 3 out of  33 columns processed."
"2024-09-27 13:12:39.0 IST","CompatibleBCal 3 out of  33 columns processed and took 20 seconds to complete."
"2024-09-27 13:12:59.0 IST","CompatibleBCal 4 out of  33 columns processed."
"2024-09-27 13:12:59.0 IST","CompatibleBCal 4 out of  33 columns processed and took 19 seconds to complete."
"2024-09-27 13:13:07.0 IST","CompatibleBCal 5 out of  33 columns processed."
"2024-09-27 13:13:07.0 IST","CompatibleBCal 5 out of  33 columns processed and took 7 seconds to complete."
"2024-09-27 13:13:15.0 IST","CompatibleBCal 6 out of  33 columns processed."
"2024-09-27 13:13:15.0 IST","CompatibleBCal 6 out of  33 columns processed and took 7 seconds to complete."
"2024-09-27 13:14:14.0 IST","CompatibleBCal 7 out of  33 columns processed."
